report_month,project_name,agency,project_code,state,date_of_approval,start_date,original_target_doc,revised_doc,original_cost_crore,revised_cost_crore,cumulative_expenditure_crore,physical_progress_percent,record_status
2025-01,System Strengthening at Koppal-II and GadagII for integration of RE generation projects [SPV Name POWERGRID Koppal Gadag Augmentation Transmission Limited],Power Grid Corporation of India Limited [POWERGRID],616672,Karnataka,01/2025,01/2025,06/2027,,1354.00,1354.00,0.00,0.00,Historical zero-progress baseline
2025-02,System Strengthening at Koppal-II and GadagII for integration of RE generation projects [SPV Name POWERGRID Koppal Gadag Augmentation Transmission Limited],Power Grid Corporation of India Limited [POWERGRID],616672,Karnataka,01/2025,01/2025,06/2027,,1354.00,1354.00,0.00,0.00,Historical zero-progress baseline
2025-03,System Strengthening at Koppal-II and GadagII for integration of RE generation projects [SPV Name POWERGRID Koppal Gadag Augmentation Transmission Limited],Power Grid Corporation of India Limited [POWERGRID],616672,Karnataka,01/2025,01/2025,06/2027,,1354.00,1354.00,0.00,0.00,Historical zero-progress baseline
2025-04,System Strengthening at Koppal-II and GadagII for integration of RE generation projects [SPV Name POWERGRID Koppal Gadag Augmentation Transmission Limited],Power Grid Corporation of India Limited [POWERGRID],616672,Karnataka,01/2025,01/2025,06/2027,,1354.00,1354.00,0.00,0.00,Historical zero-progress baseline
2025-05,System Strengthening at Koppal-II and GadagII for integration of RE generation projects [SPV Name POWERGRID Koppal Gadag Augmentation Transmission Limited],Power Grid Corporation of India Limited [POWERGRID],616672,Karnataka,01/2025,01/2025,06/2027,,1354.00,1354.00,0.00,0.00,Historical zero-progress baseline
2025-06,System Strengthening at Koppal-II and GadagII for integration of RE generation projects [SPV Name POWERGRID Koppal Gadag Augmentation Transmission Limited],Power Grid Corporation of India Limited [POWERGRID],616672,Karnataka,01/2025,01/2025,06/2027,,1354.00,1354.00,0.00,0.00,Historical zero-progress baseline
2025-07,System Strengthening at Koppal-II and GadagII for integration of RE generation projects [SPV Name POWERGRID Koppal Gadag Augmentation Transmission Limited],Power Grid Corporation of India Limited [POWERGRID],616672,Karnataka,01/2025,01/2025,06/2027,,1354.00,1354.00,16.65,0.00,Supplied record
2025-08,System Strengthening at Koppal-II and GadagII for integration of RE generation projects [SPV Name POWERGRID Koppal Gadag Augmentation Transmission Limited],Power Grid Corporation of India Limited [POWERGRID],616672,Karnataka,01/2025,01/2025,06/2027,,1354.00,1354.00,17.73,0.00,Supplied record
2025-09,System Strengthening at Koppal-II and GadagII for integration of RE generation projects [SPV Name POWERGRID Koppal Gadag Augmentation Transmission Limited],Power Grid Corporation of India Limited [POWERGRID],616672,Karnataka,01/2025,01/2025,06/2027,,1354.00,1354.00,18.14,0.00,Supplied record
2025-10,System Strengthening at Koppal-II and GadagII for integration of RE generation projects [SPV Name POWERGRID Koppal Gadag Augmentation Transmission Limited],Power Grid Corporation of India Limited [POWERGRID],616672,Karnataka,01/2025,01/2025,06/2027,,1354.00,1354.00,40.62,1.00,Supplied record
2025-11,System Strengthening at Koppal-II and GadagII for integration of RE generation projects [SPV Name POWERGRID Koppal Gadag Augmentation Transmission Limited],Power Grid Corporation of India Limited [POWERGRID],616672,Karnataka,01/2025,01/2025,06/2027,,1354.00,1354.00,44.00,1.00,Supplied record
2025-12,System Strengthening at Koppal-II and GadagII for integration of RE generation projects [SPV Name POWERGRID Koppal Gadag Augmentation Transmission Limited],Power Grid Corporation of India Limited [POWERGRID],616672,Karnataka,01/2025,01/2025,06/2027,,1354.00,1354.00,49.15,6.00,Supplied record
2026-01,System Strengthening at Koppal-II and GadagII for integration of RE generation projects [SPV Name POWERGRID Koppal Gadag Augmentation Transmission Limited],Power Grid Corporation of India Limited [POWERGRID],616672,Karnataka,01/2025,01/2025,06/2027,,1354.00,1354.00,89.77,8.00,Supplied record
2026-02,System Strengthening at Koppal-II and GadagII for integration of RE generation projects [SPV Name POWERGRID Koppal Gadag Augmentation Transmission Limited],Power Grid Corporation of India Limited [POWERGRID],616672,Karnataka,01/2025,01/2025,06/2027,,1354.00,1354.00,148.94,13.00,Supplied record
2026-03,System Strengthening at Koppal-II and GadagII for integration of RE generation projects [SPV Name POWERGRID Koppal Gadag Augmentation Transmission Limited],Power Grid Corporation of India Limited [POWERGRID],616672,Karnataka,01/2025,01/2025,06/2027,,1354.00,1354.00,203.10,17.22,Supplied record
2026-04,System Strengthening at Koppal-II and GadagII for integration of RE generation projects [SPV Name POWERGRID Koppal Gadag Augmentation Transmission Limited],Power Grid Corporation of India Limited [POWERGRID],616672,Karnataka,01/2025,01/2025,06/2027,,1354.00,1354.00,270.80,22.50,Supplied record
2026-05,System Strengthening at Koppal-II and GadagII for integration of RE generation projects [SPV Name POWERGRID Koppal Gadag Augmentation Transmission Limited],Power Grid Corporation of India Limited [POWERGRID],616672,Karnataka,01/2025,01/2025,06/2027,,1354.00,1354.00,284.34,27.65,Supplied record
2026-06,System Strengthening at Koppal-II and GadagII for integration of RE generation projects [SPV Name POWERGRID Koppal Gadag Augmentation Transmission Limited],Power Grid Corporation of India Limited [POWERGRID],616672,Karnataka,01/2025,01/2025,06/2027,,1354.00,1354.00,284.34,34.60,Supplied record
2026-07,System Strengthening at Koppal-II and GadagII for integration of RE generation projects [SPV Name POWERGRID Koppal Gadag Augmentation Transmission Limited],Power Grid Corporation of India Limited [POWERGRID],616672,Karnataka,01/2025,01/2025,06/2027,,1354.00,1354.00,338.50,38.07,Supplied record
