report_month,project_name,agency,project_code,state,date_of_approval,start_date,original_target_doc,revised_doc,original_cost_crore,revised_cost_crore,cumulative_expenditure_crore,physical_progress_percent,record_status
2025-03,Transmission Scheme for integration of Davanagere/ Chitradurga and Bellary REZ in Karnataka [POWERGRID Chitradurga Bellary REZ Transmission Limited],Power Grid Corporation of India Limited [POWERGRID],617184,Karnataka,03/2025,03/2025,09/2027,,3453.00,3453.00,0.00,0.00,Historical zero-progress baseline
2025-04,Transmission Scheme for integration of Davanagere/ Chitradurga and Bellary REZ in Karnataka [POWERGRID Chitradurga Bellary REZ Transmission Limited],Power Grid Corporation of India Limited [POWERGRID],617184,Karnataka,03/2025,03/2025,09/2027,,3453.00,3453.00,0.00,0.00,Historical zero-progress baseline
2025-05,Transmission Scheme for integration of Davanagere/ Chitradurga and Bellary REZ in Karnataka [POWERGRID Chitradurga Bellary REZ Transmission Limited],Power Grid Corporation of India Limited [POWERGRID],617184,Karnataka,03/2025,03/2025,09/2027,,3453.00,3453.00,0.00,0.00,Historical zero-progress baseline
2025-06,Transmission Scheme for integration of Davanagere/ Chitradurga and Bellary REZ in Karnataka [POWERGRID Chitradurga Bellary REZ Transmission Limited],Power Grid Corporation of India Limited [POWERGRID],617184,Karnataka,03/2025,03/2025,09/2027,,3453.00,3453.00,0.00,0.00,Historical zero-progress baseline
2025-07,Transmission Scheme for integration of Davanagere/ Chitradurga and Bellary REZ in Karnataka [POWERGRID Chitradurga Bellary REZ Transmission Limited],Power Grid Corporation of India Limited [POWERGRID],617184,Karnataka,03/2025,03/2025,09/2027,,3453.00,3453.00,20.70,0.00,Supplied observation
2025-08,Transmission Scheme for integration of Davanagere/ Chitradurga and Bellary REZ in Karnataka [POWERGRID Chitradurga Bellary REZ Transmission Limited],Power Grid Corporation of India Limited [POWERGRID],617184,Karnataka,03/2025,03/2025,09/2027,,3453.00,3453.00,33.14,0.00,Supplied observation
2025-09,Transmission Scheme for integration of Davanagere/ Chitradurga and Bellary REZ in Karnataka [POWERGRID Chitradurga Bellary REZ Transmission Limited],Power Grid Corporation of India Limited [POWERGRID],617184,Karnataka,03/2025,03/2025,09/2027,,3453.00,3453.00,47.99,0.00,Supplied observation
2025-10,Transmission Scheme for integration of Davanagere/ Chitradurga and Bellary REZ in Karnataka [POWERGRID Chitradurga Bellary REZ Transmission Limited],Power Grid Corporation of India Limited [POWERGRID],617184,Karnataka,03/2025,03/2025,09/2027,,3453.00,3453.00,52.48,1.00,Supplied observation
2025-11,Transmission Scheme for integration of Davanagere/ Chitradurga and Bellary REZ in Karnataka [POWERGRID Chitradurga Bellary REZ Transmission Limited],Power Grid Corporation of India Limited [POWERGRID],617184,Karnataka,03/2025,03/2025,09/2027,,3453.00,3453.00,62.15,1.00,Supplied observation
2025-12,Transmission Scheme for integration of Davanagere/ Chitradurga and Bellary REZ in Karnataka [POWERGRID Chitradurga Bellary REZ Transmission Limited],Power Grid Corporation of India Limited [POWERGRID],617184,Karnataka,03/2025,03/2025,09/2027,,3453.00,3453.00,69.06,3.00,Supplied observation
2026-01,Transmission Scheme for integration of Davanagere/ Chitradurga and Bellary REZ in Karnataka [POWERGRID Chitradurga Bellary REZ Transmission Limited],Power Grid Corporation of India Limited [POWERGRID],617184,Karnataka,03/2025,03/2025,09/2027,,3453.00,3453.00,75.96,6.00,Supplied observation
2026-02,Transmission Scheme for integration of Davanagere/ Chitradurga and Bellary REZ in Karnataka [POWERGRID Chitradurga Bellary REZ Transmission Limited],Power Grid Corporation of India Limited [POWERGRID],617184,Karnataka,03/2025,03/2025,09/2027,,3453.00,3453.00,276.24,9.00,Supplied observation
2026-03,Transmission Scheme for integration of Davanagere/ Chitradurga and Bellary REZ in Karnataka [POWERGRID Chitradurga Bellary REZ Transmission Limited],Power Grid Corporation of India Limited [POWERGRID],617184,Karnataka,03/2025,03/2025,09/2027,,3453.00,3453.00,345.30,11.53,Supplied observation
2026-04,Transmission Scheme for integration of Davanagere/ Chitradurga and Bellary REZ in Karnataka [POWERGRID Chitradurga Bellary REZ Transmission Limited],Power Grid Corporation of India Limited [POWERGRID],617184,Karnataka,03/2025,03/2025,09/2027,,3453.00,3453.00,414.36,13.41,Supplied observation
2026-05,Transmission Scheme for integration of Davanagere/ Chitradurga and Bellary REZ in Karnataka [POWERGRID Chitradurga Bellary REZ Transmission Limited],Power Grid Corporation of India Limited [POWERGRID],617184,Karnataka,03/2025,03/2025,09/2027,,3453.00,3453.00,483.42,17.99,Supplied observation
2026-06,Transmission Scheme for integration of Davanagere/ Chitradurga and Bellary REZ in Karnataka [POWERGRID Chitradurga Bellary REZ Transmission Limited],Power Grid Corporation of India Limited [POWERGRID],617184,Karnataka,03/2025,03/2025,09/2027,,3453.00,3453.00,483.42,21.31,Supplied observation
2026-07,Transmission Scheme for integration of Davanagere/ Chitradurga and Bellary REZ in Karnataka [POWERGRID Chitradurga Bellary REZ Transmission Limited],Power Grid Corporation of India Limited [POWERGRID],617184,Karnataka,03/2025,03/2025,09/2027,,3453.00,3453.00,552.48,23.01,Supplied observation
