report_month,project_name,agency,project_code,state,date_of_approval,start_date,original_target_doc,revised_doc,original_cost_crore,revised_cost_crore,cumulative_expenditure_crore,physical_progress_percent,record_status
2025-06,Transmission System for evacuation of power from Mahan Energen Limited Generating Station in Madhya Pradesh [SPV Name - POWERGRID MEL Power Transmission Limited],Power Grid Corporation of India Limited [POWERGRID],617279,Madhya Pradesh,06/2025,06/2025,12/2027,,558.00,558.00,0.00,0.00,Historical zero-progress baseline (user specified)
2025-07,Transmission System for evacuation of power from Mahan Energen Limited Generating Station in Madhya Pradesh [SPV Name - POWERGRID MEL Power Transmission Limited],Power Grid Corporation of India Limited [POWERGRID],617279,Madhya Pradesh,06/2025,06/2025,12/2027,,558.00,558.00,5.58,0.00,Supplied observation
2025-08,Transmission System for evacuation of power from Mahan Energen Limited Generating Station in Madhya Pradesh [SPV Name - POWERGRID MEL Power Transmission Limited],Power Grid Corporation of India Limited [POWERGRID],617279,Madhya Pradesh,06/2025,06/2025,12/2027,,558.00,558.00,16.74,0.00,Supplied observation
2025-09,Transmission System for evacuation of power from Mahan Energen Limited Generating Station in Madhya Pradesh [SPV Name - POWERGRID MEL Power Transmission Limited],Power Grid Corporation of India Limited [POWERGRID],617279,Madhya Pradesh,06/2025,06/2025,12/2027,,558.00,558.00,27.90,0.00,Supplied observation
2025-10,Transmission System for evacuation of power from Mahan Energen Limited Generating Station in Madhya Pradesh [SPV Name - POWERGRID MEL Power Transmission Limited],Power Grid Corporation of India Limited [POWERGRID],617279,Madhya Pradesh,06/2025,06/2025,12/2027,,558.00,558.00,33.48,1.00,Supplied observation
2025-11,Transmission System for evacuation of power from Mahan Energen Limited Generating Station in Madhya Pradesh [SPV Name - POWERGRID MEL Power Transmission Limited],Power Grid Corporation of India Limited [POWERGRID],617279,Madhya Pradesh,06/2025,06/2025,12/2027,,558.00,558.00,33.48,1.00,Supplied observation
2025-12,Transmission System for evacuation of power from Mahan Energen Limited Generating Station in Madhya Pradesh [SPV Name - POWERGRID MEL Power Transmission Limited],Power Grid Corporation of India Limited [POWERGRID],617279,Madhya Pradesh,06/2025,06/2025,12/2027,,558.00,558.00,33.48,2.00,Supplied observation
2026-01,Transmission System for evacuation of power from Mahan Energen Limited Generating Station in Madhya Pradesh [SPV Name - POWERGRID MEL Power Transmission Limited],Power Grid Corporation of India Limited [POWERGRID],617279,Madhya Pradesh,06/2025,06/2025,12/2027,,558.00,558.00,38.66,2.00,Supplied observation
2026-02,Transmission System for evacuation of power from Mahan Energen Limited Generating Station in Madhya Pradesh [SPV Name - POWERGRID MEL Power Transmission Limited],Power Grid Corporation of India Limited [POWERGRID],617279,Madhya Pradesh,06/2025,06/2025,12/2027,,558.00,558.00,39.06,4.00,Supplied observation
2026-03,Transmission System for evacuation of power from Mahan Energen Limited Generating Station in Madhya Pradesh [SPV Name - POWERGRID MEL Power Transmission Limited],Power Grid Corporation of India Limited [POWERGRID],617279,Madhya Pradesh,06/2025,06/2025,12/2027,,558.00,558.00,41.85,5.67,Supplied observation
2026-04,Transmission System for evacuation of power from Mahan Energen Limited Generating Station in Madhya Pradesh [SPV Name - POWERGRID MEL Power Transmission Limited],Power Grid Corporation of India Limited [POWERGRID],617279,Madhya Pradesh,06/2025,06/2025,12/2027,,558.00,558.00,50.22,9.75,Supplied observation
2026-05,Transmission System for evacuation of power from Mahan Energen Limited Generating Station in Madhya Pradesh [SPV Name - POWERGRID MEL Power Transmission Limited],Power Grid Corporation of India Limited [POWERGRID],617279,Madhya Pradesh,06/2025,06/2025,12/2027,,558.00,558.00,50.22,13.32,Supplied observation
2026-06,Transmission System for evacuation of power from Mahan Energen Limited Generating Station in Madhya Pradesh [SPV Name - POWERGRID MEL Power Transmission Limited],Power Grid Corporation of India Limited [POWERGRID],617279,Madhya Pradesh,06/2025,06/2025,12/2027,,558.00,558.00,180.90,15.11,Supplied observation
2026-07,Transmission System for evacuation of power from Mahan Energen Limited Generating Station in Madhya Pradesh [SPV Name - POWERGRID MEL Power Transmission Limited],Power Grid Corporation of India Limited [POWERGRID],617279,Madhya Pradesh,06/2025,06/2025,12/2027,,558.00,558.00,180.90,18.47,Supplied observation
